sku;name;min_price;cogs
1483085825;angolare piccolo белая;6854;2312
1483076579;angolare piccolo серая;6845;2312
1556099143;angolare piccolo черная;6812;2312
1483096622;angolare белая;7989;2737
1483051979;angolare серая;8005;2737
1478921509;angolare черная;7989;2737
1586423591;Angulo piccol темно серая;8505;2800
1643786939;Angulo piccolo белая;8505;2800
2345783944;Angulo piccolo белая нержа;15970;6050
2371792328;angulo piccolo серая нержа;15970;6050
1584150794;Angulo piccolo черная;8505;2800
2316813366;Angulo piccolo черная нержа;15970;6050
1586465073;Angulo белая;9720;3200
2345600181;Angulo белая нержа;18970;7150
1586425123;Angulo серая;9720;3200
2371887920;Angulo серая нержа;18970;7150
1584165747;Angulo черная;9720;3200
2372050249;Angulo черная нержа;18970;7150
2671835130;Berillo platino бел лев;3352;1177
2672322552;Berillo platino бел прав;3352;1177
1584509856;Berillo platino левая;3354;1178
1586412507;Berillo platino правая;3352;1177
1157852707;berillo rubino левая;3319;1177
1272993338;Berillo rubino левый белый;3327;1177
1743609168;Berillo rubino левый, серый;3352;1177
953525099;berillo rubino правая;3324;1177
1269789815;Berillo rubino правый белый;3327;1177
1743621415;Berillo rubino правый, серый;3352;1177
1180761433;Collana (Fresia) белая;4483;1578
1794671590;Collana (Fresia) серая;4841;1725
1771703623;Collana белая нержа;10862;4025
1428509422;collana черная нержа;10526;3873
1584171637;diaspro серая;4360;1515
1584171644;diaspro черная;4359;1515
1645350324;emeraldo белая;3115;1104
1794802773;emeraldo серая;3108;1104
1428640733;emeraldo черная;3104;1104
1614644136;Gancio Ч2шт;958;311
1180754903;Il granato (Primo) белая;4556;1598
1794736789;Il granato (Primo) серая;4551;1610
1428513284;il granato черная нержа;9441;3528
1269725323;La perla (Lava) белая;7790;2900
1686867756;La perla ovale белая;7790;2900
1586453635;La perla ovale серая;7790;2900
1584123955;La perla ovale черная;7790;2900
1724105358;La perla torcido белая;7790;2900
2345583452;La perla torcido белая нержа;11880;5200
1586441184;La perla torcido серая;7790;2900
2372136582;La perla torcido серая нержа;11880;5200
1584146470;La perla torcido черная;7790;2900
2372110288;La perla torcido черная нержа;11880;5200
1771717433;La perla белая нержа;12588;5200
1428484930;la perla черная нержа;14440;5200
1180869245;Onice (Iris ovale) белая;2781;981
1403613820;onice глубина 10 черная;2847;977
1401673512;onice серая глубина 10;2839;977
1643810596;opale белая;2847;989
1428635891;opale черная;2486;853
1479242276;platino белая 1 шт;1205;395
1479356449;platino белые 2 шт;2308;740
1479439044;platino белые 3 шт;3095;995
1390942172;platino серая 1шт;1205;395
1390945797;platino серые 2 шт;2308;740
1400258078;platino серые 3 шт;3095;995
1390657661;platino черная 1 шт;1205;395
1128494838;platino черные 2 шт;1787;566
1390918281;platino черные 2 шт полка + крючок;2308;740
1128502526;platino черные 3 шт;3095;995
1480882784;rubino белые 1 шт;1187;385
1480883592;rubino белые 2 шт;1767;559
1480887755;rubino белые 3 шт;2970;950
1390960921;rubino серая 1шт;1187;385
1390964923;rubino серые 2 шт;1775;559
1400254060;rubino серые 3 шт;2970;950
1390638126;rubino черная 1 шт;1187;385
1392608895;rubino черная 2 шт полка + крючок;2274;723
1390909327;rubino черная крючки 1шт;1554;478
1128484591;rubino черные 2 шт;1943;633
1128473029;rubino черные 3 шт;2970;950
1250684979;Smeraldo белая;3107;1104
1401670920;Smeraldo серая;3100;1104
1403614938;Smeraldo черная;3100;1104
2963777440;Spigolo белые 2 шт;1100;360
3000987553;Spigolo черные 2 шт;;
1221891614;Tesoro (Invis) серый;10775;3500
1614570422;tesoro piccolo белая;9112;3000
2060266038;tesoro piccolo белая нержа;16987;6050
1413410987;tesoro piccolo серая;9112;3000
2060252694;tesoro piccolo серая нержа;16987;6050
1412140991;tesoro piccolo черная;9112;3000
2060147432;tesoro piccolo черная нержа;16987;6050
1293257044;tesoro белая;10775;3500
2059861242;tesoro белая нержа;19980;7150
2059872195;tesoro серая нержа;19980;7150
953492907;tesoro черная;10775;3500
1428479843;tesoro черная нержа;19980;7150
1794715291;topazio C левая;2742;978
2383756399;topazio platino Б левая;2754;978
2383783513;topazio platino Б правая;2774;978
1645372477;topazio platino Ч левая;2754;978
1645390423;topazio platino Ч правая;2774;978
1762333495;Topazio Б левый;2741;978
1725366971;Topazio Б правый;2721;976
1616212548;topazio Ч левая;2737;976
1616225518;topazio Ч правая;2746;978
2940176601;torcido piccolo нержа бел;;
2940120757;torcido piccolo нержа черн;;
1584132970;zafiro серая;4907;2074
1584133421;zafiro черная;4922;2074
1215749638;Zircone (Tre disco) левая сторона, белая;6216;2251
1215747967;Zircone (Tre disco) левая сторона, черная;6172;2251
1215749368;Zircone (Tre disco) правая сторона, белая;6176;2251
1401904013;Zircone(tre disco) серая;6093;2251
2509928458;Ершик для туалета настенный лофт;13650;5000
1702289487;Крючки винтовые;159;35
954444677;П iris ovale;2707;977
953578274;П primo;4531;1598
986888985;ПД ferro fresia;4933;1739
953545903;ПД ferro tre disco;6105;2228
984174362;ПД tezza lava;7790;2900
985753391;ПКСК;6868;2875
1794716437;Тopazio С правый;2774;978
